OBJECTID,ACCESSIBIL,NETWORK,DATASET_LA,geometry,LINES,ATCOCODE,MODES,NIGHT_TUBE,Station,20250301_Entry,20250302_Entry,20250303_Entry,20250304_Entry,20250305_Entry,20250306_Entry,20250307_Entry,20250308_Entry,20250309_Entry,20250310_Entry,20250311_Entry,20250312_Entry,20250313_Entry,20250314_Entry,20250315_Entry,20250316_Entry,20250317_Entry,20250318_Entry,20250319_Entry,20250320_Entry,20250321_Entry,20250322_Entry,20250323_Entry,20250324_Entry,20250325_Entry,20250326_Entry,20250327_Entry,20250328_Entry,20250329_Entry,20250330_Entry,20250331_Entry,20250401_Entry,20250402_Entry,20250403_Entry,20250404_Entry,20250405_Entry,20250406_Entry,20250407_Entry,20250408_Entry,20250409_Entry,20250410_Entry,20250411_Entry,20250412_Entry,20250413_Entry,20250414_Entry,20250415_Entry,20250416_Entry,20250417_Entry,20250418_Entry,20250419_Entry,20250420_Entry,20250421_Entry,20250422_Entry,20250423_Entry,20250424_Entry,20250425_Entry,20250426_Entry,20250427_Entry,20250428_Entry,20250429_Entry,20250430_Entry,20250301_Exit,20250302_Exit,20250303_Exit,20250304_Exit,20250305_Exit,20250306_Exit,20250307_Exit,20250308_Exit,20250309_Exit,20250310_Exit,20250311_Exit,20250312_Exit,20250313_Exit,20250314_Exit,20250315_Exit,20250316_Exit,20250317_Exit,20250318_Exit,20250319_Exit,20250320_Exit,20250321_Exit,20250322_Exit,20250323_Exit,20250324_Exit,20250325_Exit,20250326_Exit,20250327_Exit,20250328_Exit,20250329_Exit,20250330_Exit,20250331_Exit,20250401_Exit,20250402_Exit,20250403_Exit,20250404_Exit,20250405_Exit,20250406_Exit,20250407_Exit,20250408_Exit,20250409_Exit,20250410_Exit,20250411_Exit,20250412_Exit,20250413_Exit,20250414_Exit,20250415_Exit,20250416_Exit,20250417_Exit,20250418_Exit,20250419_Exit,20250420_Exit,20250421_Exit,20250422_Exit,20250423_Exit,20250424_Exit,20250425_Exit,20250426_Exit,20250427_Exit,20250428_Exit,20250429_Exit,20250430_Exit
345,Fully Accessible,DLR,2021-09-23,POINT Z (539077.1005 183398.9592 0),,,,,Abbey Road DLR,29,9,1001,1053,1023,1007,1001,689,543,998,1034,1012,1037,986,637,508,970,1020,1055,1038,1056,780,552,980,1030,1047,1033,1051,3,0,894,1016,1094,1070,1059,765,564,912,1014,982,994,978,777,610,888,963,1008,981,670,673,546,529,934,971,999,1034,721,602,951,1066,1072,5,3,917,951,960,996,925,652,557,899,936,945,940,942,667,509,936,928,934,1011,916,729,540,935,950,951,948,913,0,0,804,933,987,953,972,759,631,849,935,910,939,880,676,580,802,901,914,888,641,567,492,552,903,913,949,921,629,531,856,916,944
406,Fully Accessible,TfL Rail,2022-05-26,POINT Z (547314.9825 179034.7598 0),Elizabeth Line,,,,Abbey Wood,13221,8742,17287,19098,18856,19328,17759,14660,6749,17401,19173,19239,19447,17514,13608,9124,17372,18795,19096,19690,17655,13997,8878,18022,19564,19466,19646,17709,14402,10481,18280,19215,19277,19849,17671,14957,10117,17414,19109,18537,19121,17729,16215,10193,16965,18095,18471,18186,12457,12895,8714,9691,17732,18765,19286,17803,14758,11371,17728,19614,19800,12103,8359,16487,18167,17902,18109,16250,13257,6994,16389,18199,18220,18280,15899,12211,8673,16374,17819,18165,18516,15874,12575,8288,16926,18598,18450,18257,16297,13298,9806,16001,18133,18192,18396,15990,13537,9505,16502,18124,17509,18381,16062,14771,9693,15946,17094,17442,16816,11220,11830,8159,9191,16638,17720,18373,16207,13020,10552,16649,18638,18407
83,Fully Accessible,London Overground,2023-05-23,POINT Z (520648.5566 180269.5452 0),,,,,Acton Central,2095,1311,2108,2500,2590,2562,2555,2159,1636,2320,2347,2493,2528,2538,2078,1319,2238,2503,2544,2709,2834,2012,1420,2393,2530,2621,2606,2531,1815,1473,2355,2599,2477,2500,2618,2221,0,2028,2377,2198,2319,2407,2180,2,1981,2097,2134,2150,1879,1847,1235,1185,2372,2273,2431,2566,2184,1696,2285,2644,2475,2021,1318,1846,2400,2454,2566,2507,1972,1644,2358,2337,2490,2472,2398,2032,1284,2210,2435,2381,2644,2618,1902,1401,2296,2520,2550,2503,2404,1613,1524,2316,2533,2458,2412,2354,2194,1,1925,2317,2265,2176,2296,2171,5,1978,1972,2012,1790,1749,1835,1200,1083,2268,2240,2395,2487,2156,1653,2252,2536,2347
427,Fully Accessible,TfL Rail,2022-05-26,POINT Z (520300.2785 181217.9925 0),Elizabeth Line,,,,Acton Main Line,3543,2005,4000,4725,4145,4615,4319,3612,1559,4013,4349,4481,4477,4120,3601,2014,3959,4581,4278,4716,2162,3579,0,3931,4243,4390,4835,4216,3718,2457,3955,4546,4149,4574,4244,3717,2897,4102,4361,4356,4463,4257,3705,1747,3914,4113,4255,4091,0,0,0,0,1758,4020,4454,3904,3342,0,4112,4441,4491,3335,2023,3994,4800,4421,4493,4004,3166,1785,3953,4396,4363,4323,3805,3217,2072,4064,4471,4262,4262,1808,3114,0,3907,4322,4151,4556,3829,3214,2492,3816,4541,4263,4335,3764,3219,2718,3992,4247,4283,4407,3848,3295,1610,3875,4061,4193,3685,0,0,0,0,2745,3960,4404,3677,2950,0,4177,4559,4276
291,Fully Accessible,London Underground,2021-11-29,POINT Z (519477.6064 179592.1471 0),"District, Piccadilly",940GZZLUACT,"bus, tube",Yes,Acton Town,6105,4087,7258,7873,8141,7976,7623,6412,4495,7325,7873,7809,7896,7484,6152,4434,7149,7887,8099,8019,7637,7090,3655,7268,7728,7832,7938,7278,5991,4410,7054,7750,8020,7936,8548,7692,6447,6890,7332,7209,7155,7170,5951,4744,6355,6763,7034,7096,5691,6100,4220,4041,7147,7449,7796,7573,6125,5041,7509,8026,8019,6274,4380,7421,7931,8177,7780,7638,6657,4734,7351,8018,7834,8058,7574,6409,4542,7212,8024,8321,8102,7667,8194,5255,7300,7902,7826,7963,7275,6093,4611,7219,7896,7813,7849,8645,7978,7075,7095,7390,7177,7129,7136,6128,4849,6518,6860,6911,6945,6377,6633,4771,5021,7238,7593,7958,7585,6324,5235,7465,8200,8199
162,Not Accessible,London Underground,2021-11-29,POINT Z (533613.1509 181262.295499999 0),"Metropolitan, Circle",940GZZLUALD,"bus, tube",No,Aldgate,6683,4954,10359,13029,12718,13047,9541,7355,5173,10548,12767,12690,12776,9066,7192,5378,10453,13210,12844,13117,9891,6253,4492,10968,12784,12631,13363,9142,6131,2501,9458,12500,12503,12025,8237,6047,5050,9943,12271,11801,12151,9110,6553,4609,9952,11992,11393,10490,5168,5179,4112,3549,10459,11893,12437,8791,5842,11034,10671,12842,13034,9518,6196,11616,14444,14235,14627,11179,8901,5912,11636,14334,14006,13647,10893,9176,5764,11500,14156,14260,14709,11044,8651,5178,11932,14020,14313,15044,10690,7548,3623,9277,13788,14263,13726,9722,6995,5656,11150,11792,13236,13738,11479,8815,5304,11011,13653,13452,11951,6189,6115,5001,4129,11660,13792,14788,10409,7581,8186,11784,14892,14540
309,Not Accessible,London Underground,2021-11-29,POINT Z (533936.1921 181374.788000001 0),"Hammersmith & City, District",940GZZLUADE,"bus, tube",No,Aldgate East,16845,12830,16931,19030,18845,20086,18031,18009,13524,17565,19717,18779,20623,18422,18404,13611,17462,18398,18216,20071,17741,16397,12693,15932,18198,18601,19885,17567,16132,11582,15507,17954,17825,18684,17008,15901,12996,16129,18072,18423,19524,16664,15402,12523,16268,19021,19326,19349,14886,14865,11980,10288,16146,18059,19511,17753,16369,17386,16997,18847,19032,14777,10218,15818,17907,17740,19497,17404,17143,11710,16613,18657,17906,20776,17838,17801,12318,15938,17667,17230,19586,17523,14732,10943,14702,17024,17827,19221,17347,15352,10365,15539,17249,17074,18292,16497,16028,11208,15447,18489,17530,19176,15653,14400,11638,15578,18245,18214,18482,14170,13963,10873,9807,16086,17519,18970,17586,16188,13265,15965,17704,18770
360,Fully Accessible,DLR,2021-09-23,POINT Z (537979.0484 180992.9202 0),,,,,All Saints,1296,896,1387,1411,1505,1425,1443,31,6,1552,1438,1446,1389,1471,39,15,1306,1451,1590,1459,1411,13,6,1314,1403,1464,1447,1463,1578,1096,1280,1477,1501,1486,1462,20,10,1321,1451,1390,1379,1308,1213,892,1219,1365,1388,1408,46,16,6,15,1361,1345,1293,1429,1169,2046,1418,1425,1544,1220,886,1298,1381,1409,1385,1330,3,0,1399,1409,1348,1304,1303,12,1,1290,1416,1400,1382,1327,1,0,1215,1356,1411,1322,1361,1352,978,1185,1430,1383,1422,1326,1,0,1235,1315,1301,1375,1217,1081,746,1219,1237,1302,1310,5,4,1,0,1257,1328,1264,1302,1156,1324,1306,1382,1464
144,Not Accessible,London Underground,2021-11-29,POINT Z (517996.164 183795.164000001 0),Piccadilly,940GZZLUALP,"tube, bus",No,Alperton,3241,2281,3766,3887,3758,3966,3729,3051,1912,3746,3889,3620,3981,3712,2910,2218,3739,4017,3929,3863,4191,1,3,3929,3891,4075,4010,3881,2797,2365,3640,3828,3902,4032,3902,3184,2566,3187,3740,3688,3804,3791,3343,2334,3470,3527,3744,3699,0,0,0,0,3510,3606,3861,3748,3076,2382,3608,3868,4048,3191,2408,3980,4122,3896,4201,3884,3015,2054,3924,4025,3945,4292,3867,2963,2365,4057,4344,4086,4129,4225,0,4,4200,4142,4201,4186,3983,3197,2600,3957,4027,4143,4279,4067,3340,2725,3953,3913,3906,4114,3895,3484,2558,3797,3758,4037,3979,2,0,0,0,3717,3921,4007,3948,3154,2647,3881,4104,4425
438,Partially Accessible,London Underground,2021-11-29,POINT Z (496371.5781 198181.3279 0),Metropolitan,940GZZLUAMS,tube,No,Amersham,2136,1473,3040,3504,3477,3566,2698,2506,1454,2919,3520,3535,3469,2627,2213,1503,2945,3503,3464,3592,2780,2299,1275,3126,3679,3646,3636,2910,3086,1964,3051,3679,3663,3520,2889,2106,1751,2796,3105,3284,3196,2577,2542,1591,2538,2942,2967,2854,1710,2371,1286,1525,2908,3505,3837,2736,2687,2099,3026,3703,3594,2052,1450,2876,3157,3406,3505,2726,2311,1419,2766,3398,3467,3568,2672,1990,1477,2852,3490,3405,3563,2784,2145,1151,3042,3548,3473,3550,2865,3184,1866,2870,3622,3541,3592,2935,2129,1620,2662,3102,3022,3156,2595,2204,1437,2473,2805,2929,2981,1767,2322,1274,1120,2778,3157,3670,2738,2415,1872,2944,3616,3511
