footfall_station,OBJECTID
Abbey Road DLR,345
Abbey Wood,406
Acton Central,83
Acton Main Line,427
Acton Town,291
Aldgate,162
Aldgate East,309
All Saints,360
Alperton,144
Amersham,438
Anerley,86
Angel,481
Archway,223
Arnos Grove,152
Arsenal,151
Baker Street,169
Balham,440
Bank,209
Barbican,165
Barking,400
Barking Riverside,509
Barkingside,120
Barons Court,304
Battersea Power Station,379
Bayswater,172
Beckton,463
Beckton Park,496
Becontree,184
Belsize Park,280
Bermondsey,214
Bethnal Green,113
Bethnal Green NR,39
Blackfriars,158
Blackhorse Road,243
Blackwall,361
Bond Street,204
Borough,479
Boston Manor,434
Bounds Green,282
Bow Church,362
Bow Road,311
Brent Cross,134
Brentwood,416
Brixton,186
Brockley,95
Bromley-by-Bow,395
Brondesbury,82
Brondesbury Park,81
Bruce Grove,23
Buckhurst Hill,246
Burnham Bucks,419
Burnt Oak,136
Bush Hill Park,26
Bushey,59
Caledonian Road,386
Caledonian Road & Barnsbury,109
Cambridge Heath,40
Camden Road,80
Camden Town,441
Canada Water,213
Canary Wharf,215
Canary Wharf DLR,363
Canary Wharf EL,505
Canning Town,217
Cannon Street,160
Canonbury,2
Canons Park,331
Carpenders Park,58
Chadwell Heath,504
Chalfont & Latimer,239
Chalk Farm,233
Chancery Lane,212
Charing Cross,269
Chesham,473
Cheshunt,31
Chigwell,124
Chingford,34
Chiswick Park,176
Chorleywood,240
Clapham Common,227
Clapham High Street,64
Clapham Junction,63
Clapham North,228
Clapham South,226
Clapton,32
Cockfosters,154
Colindale,135
Colliers Wood,222
Covent Garden,148
Crossharbour,499
Crouch Hill,108
Croxley,477
Crystal Palace,94
Custom House DLR,464
Custom House EL,404
Cutty Sark,365
Cyprus,465
Dagenham East,190
Dagenham Heathway,390
Dalston Junction,3
Dalston Kingsland,107
Debden,250
Denmark Hill,93
Deptford Bridge,366
Devons Road,367
Dollis Hill,253
Ealing Broadway,290
Ealing Common,292
Earls Court,199
East Acton,238
East Finchley,471
East Ham,128
East India,368
East Putney,178
Eastcote,437
Edgware,384
Edgware Road B,272
Edgware Road C&H,170
Edmonton Green,4
Elephant & Castle,270
Elm Park,191
Elverson Road,500
Embankment,259
Emerson Park,36
